d[,då
udr[bt,udråbt
udst[r,udstår
ud[den,udåden
ud[nde,udånde
uldh[r,uldhår
undg[r,undgår
undsl[,undslå
un[den,unåden
un[dig,unådig
urt[ge,urtåge
u[bnet,uåbnet
u[rene,uårene
vedg[r,vedgår
vedst[,vedstå
vestp[,vestpå
vilk[r,vilkår
vin[nd,vinånd
vr[ler,vråler
vr[let,vrålet
v[bner,våbner
v[bnet,våbnet
v[drum,vådrum
v[dter,vådter
v[dtet,vådtet
v[gede,vågede
v[gent,vågent
v[gner,vågner
v[gnet,vågnet
v[nden,vånden
v[nder,vånder
v[ndet,våndet
v[ning,våning
v[rbyg,vårbyg
v[rdag,vårdag
v[rede,vårede
v[rene,vårene
v[rlig,vårlig
v[rsæd,vårsæd
v[sede,våsede
v[seri,våseri
ægst[l,ægstål
øjel[g,øjelåg
øjem[l,øjemål
øld[se,øldåse
[benr[,åbenrå
[benr[,åbenrå
[bjørn,åbjørn
[bnede,åbnede
[bnere,åbnere
[bning,åbning
[brink,åbrink
[bybro,åbybro
[dalen,ådalen
[drede,ådrede
[dring,ådring
[dsler,ådsler
[dslet,ådslet
[geren,ågeren
[grede,ågrede
[kande,åkande
[lborg,ålborg
[løbet,åløbet
[ndbar,åndbar
[ndede,åndede
[ndige,åndige
[ndigt,åndigt
[nding,ånding
[ndløs,åndløs
[ndrig,åndrig
[relod,årelod
[rem[l,åremål
[rem[l,åremål
[rerne,årerne
[retag,åretag
[revis,årevis
[rgang,årgang
[rlige,årlige
[rligt,årligt
[rring,årring
[rsdag,årsdag
[rsløn,årsløn
[rstal,årstal
[rstid,årstid
[rsvis,årsvis
[rtier,årtier
[rtiet,årtiet
[synet,åsynet
afb[ret,afbåret
afh[rer,afhårer
afh[ret,afhåret
afl[ser,aflåser
afl[ste,aflåste
afm[ler,afmåler
afm[lte,afmålte
afroh[r,afrohår
afsl[et,afslået
afst[et,afstået
aftr[dt,aftrådt
agerk[l,agerkål
alfeh[r,alfehår
amtsr[d,amtsråd
anr[ber,anråber
anr[bet,anråbet
anr[bte,anråbte
ansl[et,anslået
anst[et,anstået
armb[nd,armbånd
askegr[,askegrå
attr[en,attråen
attr[et,attrået
azurbl[,azurblå
bagg[rd,baggård
bagh[nd,baghånd
banes[r,banesår
bankl[n,banklån
barne[r,barneår
bed[rer,bedårer
bed[ret,bedåret
begtr[d,begtråd
beh[ret,behåret
bel[ner,belåner
bel[nte,belånte
benh[rd,benhård
ben[der,benåder
ben[det,benådet
ber[ber,beråber
ber[bte,beråbte
ber[der,beråder
ber[dte,berådte
besl[et,beslået
best[en,beståen
best[et,bestået
bes[ede,besåede
betr[dt,betrådt
be[ndet,beåndet
bim[nen,bimånen
bim[ner,bimåner
binds[l,bindsål
bist[et,bistået
biv[ner,bivåner
biv[net,bivånet
blank[l,blankål
blegbl[,blegblå
bleggr[,bleggrå
blod[re,blodåre
blomk[l,blomkål
blyb[nd,blybånd
blygr[t,blygråt
bl[alge,blåalge
bl[grøn,blågrøn
bl[gr[t,blågråt
bl[gr[t,blågråt
bl[gule,blågule
bl[gult,blågult
bl[hals,blåhals
bl[hval,blåhval
bl[hvid,blåhvid
bl[lige,blålige
bl[ligt,blåligt
bl[nede,blånede
bl[pude,blåpude
bl[regn,blåregn
bl[rene,blårene
bl[ræve,blåræve
bl[røde,blårøde
bl[rødt,blårødt
bl[sort,blåsort
bl[stak,blåstak
bl[sten,blåsten
bl[sure,blåsure
bl[surt,blåsurt
bl[syre,blåsyre
bl[tryk,blåtryk
bl[vand,blåvand
bl[øjen,blåøjen
bl[øjer,blåøjer
bl[øjet,blåøjet
bolle-[,bolle-å
bortg[r,bortgår
bramg[s,bramgås
breds[r,bredsår
brunk[l,brunkål
byr[det,byrådet
byv[ben,byvåben
børne[r,børneår
b[debro,bådebro
b[dehus,bådehus
b[dejer,bådejer
b[delav,bådelav
b[dfart,bådfart
b[dfolk,bådfolk
b[drute,bådrute
b[dskat,bådskat
b[dtype,bådtype
b[kerne,båkerne
b[lfærd,bålfærd
b[ltale,båltale
b[ndede,båndede
b[ndene,båndene
b[ndm[l,båndmål
b[ndm[l,båndmål
b[ndsav,båndsav
b[ndsus,båndsus
b[ndvæv,båndvæv
b[rerne,bårerne
b[thorn,båthorn
b[ttede,båttede
b[ttene,båttene
cyanbl[,cyanblå
drivv[d,drivvåd
drukm[s,drukmås
duebl[t,dueblåt
dugv[de,dugvåde
dugv[dt,dugvådt
dybbl[t,dybblåt
dynev[r,dynevår
dyngv[d,dyngvåd
dæksb[d,dæksbåd
dødh[rd,dødhård
dørl[se,dørlåse
d[bsdag,dåbsdag
d[bsfad,dåbsfad
d[dfuld,dådfuld
d[dløse,dådløse
d[dløst,dådløst
d[drige,dådrige
d[drigt,dådrigt
d[dyret,dådyret
d[hjort,dåhjort
d[kalve,dåkalve
d[nelse,dånelse
d[nende,dånende
d[redes,dåredes
d[rende,dårende
d[rerne,dårerne
d[rlige,dårlige
d[rligt,dårligt
d[rskab,dårskab
d[semad,dåsemad
d[serne,dåserne
d[strup,dåstrup
d[vildt,dåvildt
efterp[,efterpå
efters[,efterså
efter[r,efterår
elevr[d,elevråd
elm[ler,elmåler
elve[rs,elveårs
enb[ren,enbåren
enb[rne,enbårne
endem[l,endemål
endogs[,endogså
en[rige,enårige
en[ring,enåring
etm[let,etmålet
et[rige,etårige
et[rigt,etårigt
fastsl[,fastslå
favnm[l,favnmål
feh[ret,fehåret
feltr[b,feltråb
fem[ret,femåret
fem[rig,femårig
ferie[r,ferieår
filsp[n,filspån
filth[r,filthår
filts[l,filtsål
fire[rs,fireårs
firs[rs,firsårs
fir[rig,firårig
fjeld[s,fjeldås
flexl[n,flexlån
flodb[d,flodbåd
fl[ddet,flåddet
fl[dede,flådede
fl[ning,flåning
forbig[,forbigå
forbis[,forbiså
foreg[r,foregår
foresl[,foreslå
forest[,forestå
forg[et,forgået
forg[rd,forgård
forg[rs,forgårs
forh[nd,forhånd
forh[ne,forhåne
form[en,formåen
form[et,formået
forr[de,forråde
forr[dt,forrådt
forr[et,forrået
forsl[r,forslår
forsm[r,forsmår
forst[r,forstår
fors[le,forsåle
fort[ge,fortåge
foruds[,forudså
for[ret,foråret
frag[et,fragået
frar[de,fraråde
fremg[r,fremgår
freml[n,fremlån
fremst[,fremstå
fr[dede,frådede
fr[dser,frådser
fr[sede,fråsede
fr[sere,fråsere
fr[seri,fråseri
fyrb[ke,fyrbåke
fyrt[rn,fyrtårn
fyr[bet,fyråbet
fæh[ret,fæhåret
færøb[d,færøbåd
føleh[r,følehår
f[mælte,fåmælte
f[r-ged,får-ged
f[reavl,fåreavl
f[reged,fåreged
f[rekød,fårekød
f[reost,fåreost
gen[bne,genåbne
ger[der,geråder
ger[det,gerådet
goder[d,goderåd
godth[b,godthåb
gradm[l,gradmål
grann[l,grannål
gravg[s,gravgås
gren[bo,grenåbo
griset[,grisetå
grønbl[,grønblå
grønk[l,grønkål
gr[blad,gråblad
gr[bleg,gråbleg
gr[bl[t,gråblåt
gr[bl[t,gråblåt
gr[brun,gråbrun
gr[dige,grådige
gr[digt,grådigt
gr[grøn,grågrøn
gr[gule,grågule
gr[gult,grågult
gr[hvid,gråhvid
gr[lige,grålige
gr[ligt,gråligt
gr[nede,grånede
gr[pile,gråpile
gr[pære,gråpære
gr[røde,grårøde
gr[rødt,grårødt
gr[skæg,gråskæg
gr[sort,gråsort
gr[sten,gråsten
gr[tone,gråtone
gr[vejr,gråvejr
gr[værk,gråværk
gr[zone,gråzone
guld[re,guldåre
gørem[l,gøremål
g[derne,gåderne
g[gaden,gågaden
g[gader,gågader
g[p[mod,gåpåmod
g[p[mod,gåpåmod
g[rdene,gårdene
g[rding,gårding
g[rdkat,gårdkat
g[rdtur,gårdtur
g[rsdag,gårsdag
g[sedun,gåsedun
g[sefod,gåsefod
g[sehud,gåsehud
g[sepen,gåsepen
g[seurt,gåseurt
g[sevin,gåsevin
g[stole,gåstole
g[tiden,gåtiden
g[tider,gåtider
g[turen,gåturen
halvr[t,halvråt
halvv[d,halvvåd
havbl[t,havblåt
havm[ge,havmåge
hav[len,havålen
hel[ret,helåret
heng[et,hengået
henst[r,henstår
hen[nde,henånde
hjeml[n,hjemlån
hulb[nd,hulbånd
husb[de,husbåde
hvidgr[,hvidgrå
hvidk[l,hvidkål
hvorn[r,hvornår
h[bløse,håbløse
h[bløst,håbløst
h[ndbog,håndbog
h[ndfri,håndfri
h[ndkys,håndkys
h[ndkøb,håndkøb
h[ndled,håndled
h[ndmad,håndmad
h[ndrod,håndrod
h[ndryg,håndryg
h[ndsky,håndsky
h[ndtag,håndtag
h[ndten,håndten
h[ndvæv,håndvæv
h[nende,hånende
h[nleet,hånleet
h[nlige,hånlige
h[nligt,hånligt
h[nsord,hånsord
